"Aken_Jan";"Albani_Stephan";"Albsteiger_Katrin";"Alpers_Agnes";"Altmaier_Peter";"Amtsberg_Luise";"Andreae_Kerstin";"Annen_Niels";"Arndt-Brauer_Ingrid";"Arnold_Rainer";"Auernhammer_Artur";"Baehrens_Heike";"Baerbock_Annalena";"Bahr_Ulrike";"Barchmann_Heinz-Joachim";"Bareiss_Thomas";"Barley_Katarina";"Barnett_Doris";"Bartels_Hans-Peter";"Barthel_Klaus";"Barthle_Norbert";"Bartke_Matthias";"Bartol_Soeren";"Bartsch_Dietmar";"Bartz_Julia";"Bas_Baerbel";"Baumann_Guenter";"Beck (Bremen)_Marieluise";"Beck (Koeln)_Volker";"Becker_Dirk";"Beckmeyer_Uwe";"Beermann_Maik";"Behrens_Herbert";"Behrens (Boerde)_Manfred";"Bellmann_Veronika";"Benning_Sybille";"Berghegger_Andre";"Berghegger_André";"Bergner_Christoph";"Bertram_Ute";"Beyer_Peter";"Bilger_Steffen";"Binder_Karin";"Binding (Heidelberg)_Lothar";"Binninger_Clemens";"Birkwald_Matthias W.";"Bleser_Peter";"Blienert_Burkhard";"Bluhm_Heidrun";"Bosbach_Wolfgang";"Brackmann_Norbert";"Brand_Michael";"Brandl_Reinhard";"Brandt_Helmut";"Brantner_Franziska";"Brase_Willi";"Brauksiepe_Ralf";"Braun_Helge";"Brehmer_Heike";"Brinkhaus_Ralph";"Brugger_Agnieszka";"Brunner_Karl-Heinz";"Braehmig_Klaus";"Buchholz_Christine";"Bulling-Schroeter_Eva";"Bulmahn_Edelgard";"Burkert_Martin";"Boehmer_Maria";"Buelow_Marco";"Baer_Dorothee";"Baetzing-Lichtenthaeler_Sabine";"Caesar_Cajus";"Castellucci_Lars";"Claus_Roland";"Connemann_Gitta";"Crone_Petra";"Dagdelen_Sevim";"Daldrup_Bernhard";"De Ridder_Daniela";"Dehm_Diether";"Deligoez_Ekin";"Diaby_Karamba";"Dinges-Dierig_Alexandra";"Dittmar_Sabine";"Dobrindt_Alexander";"Donth_Michael";"Drobinski-Weiss_Elvira";"Droege_Katharina";"Durz_Hansjoerg";"Doerflinger_Thomas";"Doermann_Martin";"Doerner_Katja";"Doett_Marie-Luise";"Eberl_Iris";"Ebner_Harald";"Eckenbach_Jutta";"Edathy_Sebastian";"Ehrmann_Siegmund";"Engelmeier_Michaela";"Engelmeier-Heite_Michaela";"Erler_Gernot";"Ernst_Klaus";"Ernstberger_Petra";"Esken_Saskia";"Evers-Meyer_Karin";"Fabritius_Bernd";"Fechner_Johannes";"Feiler_Uwe";"Feist_Thomas";"Felgentreu_Fritz";"Ferlemann_Enak";"Ferner_Elke";"Finckh-Kraemer_Ute";"Fischbach_Ingrid";"Fischer (Hamburg)_Dirk";"Fischer (Karlsruhe-Land)_Axel E.";"Flachsbarth_Maria";"Flisek_Christian";"Flosbach_Klaus-Peter";"Fograscher_Gabriele";"Franke_Edgar";"Freese_Ulrich";"Frei_Thorsten";"Freitag_Dagmar";"Freudenstein_Astrid";"Friedrich (Hof)_Hans-Peter";"Frieser_Michael";"Fuchs_Michael";"Fuchtel_Hans-Joachim";"Funk_Alexander";"Faerber_Hermann";"Gabriel_Sigmar";"Gambke_Thomas";"Gastel_Matthias";"Gauweiler_Peter";"Gebhart_Thomas";"Gehrcke_Wolfgang";"Gehring_Kai";"Gerdes_Michael";"Gerig_Alois";"Gerster_Martin";"Gienger_Eberhard";"Giousouf_Cemile";"Gleicke_Iris";"Gloeckner_Angelika";"Gohlke_Nicole";"Golze_Diana";"Gottschalck_Ulrike";"Griese_Kerstin";"Grindel_Reinhard";"Groden-Kranich_Ursula";"Groneberg_Gabriele";"Grosse-Broemer_Michael";"Grotelueschen_Astrid";"Groth_Annette";"Gross_Michael";"Grund_Manfred";"Grundmann_Oliver";"Gruebel_Markus";"Groehe_Hermann";"Groehler_Klaus-Dieter";"Groetsch_Uli";"Gruetters_Monika";"Gundelach_Herlind";"Gunkel_Wolfgang";"Gutting_Olav";"Gysi_Gregor";"Gaedechens_Ingo";"Guentzler_Fritz";"Goeppel_Josef";"Goering-Eckardt_Katrin";"Haase_Christian";"Hagedorn_Bettina";"Hagl-Kehl_Rita";"Hahn_Andre";"Hahn_André";"Hahn_Florian";"Hajduk_Anja";"Hakverdi_Metin";"Hampel_Ulrich";"Harbarth_Stephan";"Hardt_Juergen";"Hartmann_Sebastian";"Hartmann (Wackernheim)_Michael";"Hasselfeldt_Gerda";"Hauer_Matthias";"Hauptmann_Mark";"Hasselmann_Britta";"Heck_Stefan";"Heidenblut_Dirk";"Heider_Matthias";"Heiderich_Helmut";"Heil_Mechthild";"Heil (Peine)_Hubertus";"Hein_Rosemarie";"Heinrich_Gabriela";"Heinrich (Chemnitz)_Frank";"Held_Marcus";"Helfrich_Mark";"Heller_Uda";"Hellmich_Wolfgang";"Hellmuth_Joerg";"Hendricks_Barbara";"Henke_Rudolf";"Henn_Heidtrud";"Hennrich_Michael";"Herzog_Gustav";"Heveling_Ansgar";"Hiller-Ohm_Gabriele";"Hintze_Peter";"Hinz (Essen)_Petra";"Hinz (Herborn)_Priska";"Hirte_Christian";"Hirte_Heribert";"Hitschler_Thomas";"Hochbaum_Robert";"Hoffmann_Alexander";"Hoffmann (Dortmund)_Thorsten";"Hofreiter_Anton";"Holmeier_Karl";"Holzenkamp_Franz-Josef";"Hoppenstedt_Hendrik";"Horb_Margaret";"Hornhues_Bettina";"Huber_Charles M.";"Hunko_Andrej";"Hupach_Sigrid";"Huebinger_Anette";"Hoeger_Inge";"Hoegl_Eva";"Hoehn_Baerbel";"Haensel_Heike";"Hueppe_Hubert";"Ilgen_Matthias";"Irlstorfer_Erich";"Janecek_Dieter";"Jantz_Christina";"Jantz-Herrmann_Christina";"Jarzombek_Thomas";"Jelpke_Ulla";"Jost_Reinhold";"Jung_Andreas";"Jung_Franz Josef";"Jung_Xaver";"Jung (Konstanz)_Andreas";"Junge_Frank";"Juratovic_Josip";"Jurk_Thomas";"Joerrissen_Sylvia";"Juettner_Egon";"Kaczmarek_Oliver";"Kahrs_Johannes";"Kalb_Bartholomaeus";"Kammer_Hans-Werner";"Kampeter_Steffen";"Kampmann_Christina";"Kanitz_Steffen";"Kapschack_Ralf";"Karawanskij_Susanna";"Karl_Alois";"Karliczek_Anja";"Kassner_Kerstin";"Kaster_Bernhard";"Katzmarek_Gabriele";"Kauder_Volker";"Kaufmann_Stefan";"Kekeritz_Uwe";"Kelber_Ulrich";"Kermer_Marina";"Keul_Katja";"Kiesewetter_Roderich";"Kindler_Sven-Christian";"Kippels_Georg";"Kipping_Katja";"Kiziltepe_Cansel";"Klare_Arno";"Klein_Volkmar";"Klein-Schmeink_Maria";"Klimke_Juergen";"Klingbeil_Lars";"Knoerig_Axel";"Koenigs_Tom";"Koeppen_Jens";"Kofler_Baerbel";"Kolbe_Daniela";"Kolbe (Leipzig)_Daniela";"Koob_Markus";"Korte_Jan";"Koschyk_Hartmut";"Kotting-Uhl_Sylvia";"Kovac_Kordula";"Kramme_Anette";"Krellmann_Jutta";"Kretschmer_Michael";"Krichbaum_Gunther";"Krings_Guenter";"Krischer_Oliver";"Kruse_Ruediger";"Krueger_Hans-Ulrich";"Kudla_Bettina";"Kunert_Katrin";"Kurth_Markus";"Kuehn (Dresden)_Stephan";"Kuehn (Tuebingen)_Christian";"Kuehn-Mengel_Helga";"Kuehne_Roy";"Koempel_Birgit";"Kuenast_Renate";"Koerber_Carsten";"Lach_Guenter";"Lagosky_Uwe";"Lambrecht_Christine";"Lamers_Karl A.";"Lamers (Heidelberg)_Karl A.";"Lammert_Norbert";"Landgraf_Katharina";"Lange_Ulrich";"Lange (Backnang)_Christian";"Lanzinger_Barbara";"Launert_Silke";"Lauterbach_Karl";"Lay_Caren";"Lazar_Monika";"Lehrieder_Paul";"Leidig_Sabine";"Leikert_Katja";"Lemke_Steffi";"Lemme_Steffen-Claudio";"Lengsfeld_Philipp";"Lenkert_Ralph";"Lenz_Andreas";"Lerchenfeld_Philipp";"Lerchenfeld_Philipp Graf";"Leutert_Michael";"Leyen_Ursula";"Lezius_Antje";"Liebich_Stefan";"Liebing_Ingbert";"Lietz_Matthias";"Lindholz_Andrea";"Lindner_Tobias";"Linnemann_Carsten";"Lips_Patricia";"Lischka_Burkhard";"Lorenz_Wilfried";"Lotze_Hiltrud";"Luczak_Jan-Marco";"Ludwig_Daniela";"Lutze_Thomas";"Luecking-Michel_Claudia";"Luehmann_Kirsten";"Laemmel_Andreas G.";"Loesekrug-Moeller_Gabriele";"Loetzsch_Gesine";"Maag_Karin";"Magwas_Yvonne";"Mahlberg_Thomas";"Maisch_Nicole";"Maizière_Thomas";"Malecha-Nissen_Birgit";"Manderla_Gisela";"Marks_Caren";"Marschall_Matern";"Marwitz_Hans-Georg";"Mast_Katja";"Mattfeldt_Andreas";"Mattheis_Hilde";"Mayer (Altoetting)_Stephan";"Meier_Reiner";"Meister_Michael";"Meiwald_Peter";"Menz_Birgit";"Merkel_Angela";"Metzler_Jan";"Michalk_Maria";"Michelbach_Hans";"Middelberg_Mathias";"Miersch_Matthias";"Mihalic_Irene";"Mindrup_Klaus";"Mittag_Susanne";"Missfelder_Philipp";"Monstadt_Dietrich";"Mortler_Marlene";"Mosblech_Volker";"Motschmann_Elisabeth";"Movassat_Niema";"Murmann_Philipp";"Mutlu_Oezcan";"Moehring_Cornelia";"Mueller_Bettina";"Mueller_Gerd";"Mueller (Braunschweig)_Carsten";"Mueller (Chemnitz)_Detlef";"Mueller (Erlangen)_Stefan";"Mueller (Potsdam)_Norbert";"Mueller-Gemmeke_Beate";"Muentefering_Michelle";"Moering_Karsten";"Muetzenich_Rolf";"Nahles_Andrea";"Neu_Alexander S.";"Nick_Andreas";"Nietan_Dietmar";"Nissen_Ulli";"Noll_Michaela";"Nord_Thomas";"Notz_Konstantin";"Nouripour_Omid";"Nowak_Helmut";"Nuesslein_Georg";"Obermeier_Julia";"Oellers_Wilfried";"Oppermann_Thomas";"Ostendorff_Friedrich";"Ostermann_Tim";"Otte_Henning";"Ossner_Florian";"Pahlmann_Ingrid";"Pantel_Sylvia";"Paschke_Markus";"Patzelt_Martin";"Pau_Petra";"Paus_Lisa";"Petry_Christian";"Petzold_Ulrich";"Petzold (Havelland)_Harald";"Pfeiffer_Joachim";"Pfeiffer_Sibylle";"Pflugradt_Jeannine";"Pilger_Detlev";"Pitterle_Richard";"Pofalla_Ronald";"Pols_Eckhard";"Poschmann_Sabine";"Post_Florian";"Post (Minden)_Achim";"Pothmer_Brigitte";"Poss_Joachim";"Priesmeier_Wilhelm";"Pronold_Florian";"Paetzold_Martin";"Raabe_Sascha";"Raatz_Simone";"Rabanus_Martin";"Rachel_Thomas";"Radomski_Kerstin";"Radwan_Alexander";"Rainer_Alois";"Ramsauer_Peter";"Rawert_Mechthild";"Rebmann_Stefan";"Rehberg_Eckhardt";"Reiche (Potsdam)_Katherina";"Reichenbach_Gerold";"Reimann_Carola";"Renner_Martina";"Riebsamen_Lothar";"Rief_Josef";"Riesenhuber_Heinz";"Rimkus_Andreas";"Rix_Soenke";"Rode-Bosse_Petra";"Rohde_Dennis";"Rosemann_Martin";"Rossmann_Ernst Dieter";"Roth (Augsburg)_Claudia";"Roth (Heringen)_Michael";"Rupprecht_Albert";"Rupprecht (Weiden)_Albert";"Ryglewski_Sarah";"Rueddel_Erwin";"Rueffer_Corinna";"Roering_Johannes";"Roespel_René";"Ruethrich_Susann";"Roettgen_Norbert";"Ruetzel_Bernd";"Roessner_Tabea";"Saathoff_Johann";"Sarrazin_Manuel";"Sawade_Annette";"Schabedoth_Hans-Joachim";"Scharfenberg_Elisabeth";"Schauws_Ulle";"Schavan_Annette";"Scheer_Nina";"Scheuer_Andreas";"Schick_Gerhard";"Schieder_Marianne";"Schieder (Schwandorf)_Marianne";"Schiefner_Udo";"Schiewerling_Karl";"Schimke_Jana";"Schindler_Norbert";"Schipanski_Tankred";"Schlecht_Michael";"Schlegel_Dorothee";"Schmelzle_Heiko";"Schmidt_Frithjof";"Schmidt (Aachen)_Ulla";"Schmidt (Berlin)_Matthias";"Schmidt (Fuerth)_Christian";"Schmidt (Wetzlar)_Dagmar";"Schmidt (Uehlingen)_Gabriele";"Schmitt_Ronja";"Schmitt (Althengstett)_Ronja";"Schneider (Erfurt)_Carsten";"Schnieder_Patrick";"Scho-Antwerpes_Elfi";"Schockenhoff_Andreas";"Schroeder_Ole";"Schroeder (Wiesbaden)_Kristina";"Schulte_Ursula";"Schulte-Drueggelte_Bernhard";"Schulz (Spandau)_Swen";"Schulz-Asche_Kordula";"Schulze_Klaus-Peter";"Schummer_Uwe";"Schurer_Ewald";"Schuster (Weil am Rhein)_Armin";"Schwabe_Frank";"Schwartze_Stefan";"Schwarz_Andreas";"Schwarzeluehr-Sutter_Rita";"Schwarzer_Christina";"Schaefer (Bochum)_Axel";"Schaefer (Saalstadt)_Anita";"Schoen (St. Wendel)_Nadine";"Schaeuble_Wolfgang";"Seif_Detlef";"Selle_Johannes";"Sendker_Reinhold";"Sensburg_Patrick";"Siebert_Bernd";"Sieling_Carsten";"Silberhorn_Thomas";"Singhammer_Johannes";"Sitte_Petra";"Sorge_Tino";"Spahn_Jens";"Spiering_Rainer";"Spinrath_Norbert";"Stadler_Svenja";"Stamm-Fibich_Martina";"Stauche_Carola";"Steffel_Frank";"Steffen_Sonja";"Stefinger_Wolfgang";"Stegemann_Albert";"Stein_Peter";"Steinbach_Erika";"Steinbrueck_Peer";"Steineke_Sebastian";"Steiniger_Johannes";"Steinke_Kersten";"Steinmeier_Frank-Walter";"Stetten_Christian";"Stier_Dieter";"Stockhofe_Rita";"Storjohann_Gero";"Stracke_Stephan";"Straubinger_Max";"Strebl_Matthaeus";"Strengmann-Kuhn_Wolfgang";"Strenz_Karin";"Stritzl_Thomas";"Strobl (Heilbronn)_Thomas";"Strothmann_Lena";"Stroebele_Hans-Christian";"Straesser_Christoph";"Stuebgen_Michael";"Suetterlin-Waack_Sabine";"Tack_Kerstin";"Tackmann_Kirsten";"Tank_Azize";"Tauber_Peter";"Tausend_Claudia";"Tempel_Frank";"Terpe_Harald";"Thews_Michael";"Thissen_Karin";"Thoennes_Franz";"Tiefensee_Wolfgang";"Tillmann_Antje";"Timmermann-Fechter_Astrid";"Tressel_Markus";"Trittin_Juergen";"Troost_Axel";"Traeger_Carsten";"Uhl_Hans-Peter";"Ullrich_Volker";"Ulrich_Alexander";"Vaatz_Arnold";"Veit_Ruediger";"Veith_Oswin";"Verlinden_Julia";"Viesehon_Thomas";"Vietz_Michael";"Vogel (Kleinsaara)_Volkmar";"Vogler_Kathrin";"Vogt_Ute";"Volmering_Sven";"Vossbeck-Kayser_Christel";"Vries_Kees";"Voepel_Dirk";"Wadephul_Johann";"Wagenknecht_Sahra";"Wagner_Doris";"Walter-Rosenheimer_Beate";"Wanderwitz_Marco";"Warken_Nina";"Wawzyniak_Halina";"Weber_Gabi";"Wegner_Kai";"Weiler_Albert";"Weinberg_Harald";"Weinberg (Hamburg)_Marcus";"Weisgerber_Anja";"Weiss (Wesel I)_Sabine";"Weiss (Emmendingen)_Peter";"Wellenreuther_Ingo";"Wellmann_Karl-Georg";"Wendt_Marian";"Werner_Katrin";"Westermayer_Waldemar";"Westphal_Bernd";"Whittaker_Kai";"Wichtel_Peter";"Wicklein_Andrea";"Widmann-Mauz_Annette";"Wiese_Dirk";"Wiese (Ehingen)_Heinz";"Willsch_Klaus-Peter";"Wilms_Valerie";"Winkelmeier-Becker_Elisabeth";"Wittke_Oliver";"Wolff (Wolmirstedt)_Waltraud";"Woltmann_Barbara";"Wunderlich_Joern";"Woehrl_Dagmar G.";"Woellert_Birgit";"Yueksel_Guelistan";"Zdebel_Hubertus";"Zech_Tobias";"Zertik_Heinrich";"Zeulner_Emmi";"Ziegler_Dagmar";"Zierke_Stefan";"Zimmer_Matthias";"Zimmermann_Jens";"Zimmermann_Pia";"Zimmermann (Zwickau)_Sabine";"Zollner_Gudrun";"Zypries_Brigitte";"Zoellmer_Manfred";"Oezdemir_Cem";"Oezdemir (Duisburg)_Mahmut";"Oezoguz_Aydan";"Title";"Date"
"n";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"z";"p";"p";"p";"p";"r";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"n";"n";"r";"r";"p";"r";"p";"p";"p";"p";"n";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"z";"p";"p";"r";"p";"z";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"a";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"z";"n";"n";"p";"p";"r";"p";"z";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"r";"n";"p";"p";"p";"p";"p";"p";"p";"n";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"a";"r";"p";"p";"p";"p";"p";"z";"p";"p";"p";"p";"p";"p";"p";"n";"n";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"z";"p";"n";"p";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"z";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"r";"n";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"r";"z";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"n";"p";"z";"p";"r";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"z";"p";"n";"p";"p";"n";"p";"p";"p";"z";"p";"z";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"n";"p";"r";"p";"r";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"z";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"z";"p";"p";"p";"p";"p";"z";"p";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"z";"p";"p";"p";"p";"p";"p";"n";"r";"p";"p";"p";"p";"p";"p";"p";"z";"z";"p";"p";"z";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"n";"p";"p";"n";"p";"p";"z";"p";"p";"p";"p";"p";"p";"n";"p";"r";"p";"r";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"n";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"n";"p";"n";"p";"n";"p";"p";"p";"p";"p";"p";"p";"n";"n";"r";"p";"p";"p";"p";"p";"Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte (UNMISS) (Drs. 18/71)";2013-11-28
"n";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"z";"p";"p";"p";"p";"r";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"r";"n";"n";"r";"r";"p";"r";"p";"p";"p";"p";"n";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"z";"p";"p";"r";"p";"z";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"a";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"r";"p";"p";"r";"p";"n";"p";"p";"p";"p";"p";"p";"p";"z";"n";"n";"p";"p";"r";"p";"z";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"r";"n";"p";"p";"r";"p";"p";"p";"p";"n";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"n";"p";"p";"r";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"a";"r";"p";"p";"p";"p";"p";"z";"p";"p";"p";"p";"p";"p";"p";"n";"n";"p";"n";"p";"p";"n";"p";"r";"p";"p";"p";"z";"p";"n";"p";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"r";"p";"p";"p";"r";"z";"p";"p";"r";"p";"p";"p";"p";"n";"p";"p";"r";"p";"p";"p";"r";"n";"p";"r";"p";"r";"p";"p";"p";"p";"r";"p";"p";"z";"r";"p";"p";"p";"r";"p";"p";"p";"n";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"z";"n";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"r";"r";"r";"p";"p";"z";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"z";"p";"r";"p";"p";"n";"p";"p";"p";"z";"p";"z";"p";"p";"p";"r";"p";"n";"p";"p";"p";"p";"n";"p";"r";"p";"r";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"z";"p";"n";"p";"p";"p";"p";"n";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"z";"p";"p";"p";"p";"p";"z";"p";"z";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"z";"p";"p";"p";"p";"p";"p";"n";"r";"p";"p";"p";"p";"p";"p";"p";"z";"z";"r";"p";"z";"p";"p";"r";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"r";"p";"p";"p";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"p";"z";"r";"p";"p";"p";"p";"p";"p";"p";"p";"n";"n";"p";"p";"n";"p";"p";"z";"r";"p";"p";"p";"p";"p";"n";"p";"r";"p";"r";"p";"p";"p";"p";"p";"p";"p";"n";"r";"p";"p";"p";"p";"p";"n";"p";"p";"p";"p";"n";"p";"p";"p";"n";"p";"p";"p";"p";"p";"p";"p";"r";"z";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"p";"r";"p";"n";"p";"n";"p";"n";"p";"p";"p";"p";"p";"p";"p";"n";"n";"r";"r";"p";"p";"p";"r";"Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte (UNAMID) (Drs. 18/72)";2013-11-28
